ID,Timestamp,ax,ay,az,gx,gy,gz,Label,ax_ms2,ay_ms2,az_ms2,gx_rads,gy_rads,gz_rads
432,432106,1760,16164.0,-2012.0,782.0,684.0,-201.0,kepala_belakang,1.0534487304687499,9.674968908691406,-1.2042834350585936,0.10418683015721876,0.09113016857741385,-0.026779479362661087
433,433108,1392,16192.0,-1940.0,-641.0,328.0,-405.0,kepala_belakang,0.833182177734375,9.6917283203125,-1.1611878051757811,-0.08540122523117291,0.04369984692016337,-0.05395865244715294
434,434111,1396,16384.0,-1888.0,86.0,249.0,-238.0,kepala_belakang,0.8355763793945312,9.80665,-1.13006318359375,0.011457886692481857,0.03317457891195329,-0.03170903526524049
435,435113,1464,16044.0,-2504.0,118.0,-162.0,-154.0,kepala_belakang,0.8762778076171874,9.603142858886718,-1.4987702392578124,0.01572128639200999,-0.021583460978861175,-0.020517611053979142
436,436116,1236,16424.0,-3156.0,53.0,-48.0,-183.0,kepala_belakang,0.7398083129882812,9.830592016601562,-1.889025109863281,0.007061255752343471,-0.0063950995492922,-0.02438131703167651
437,437118,1008,16504.0,-3112.0,-313.0,-306.0,-563.0,kepala_belakang,0.603338818359375,9.878476049804688,-1.8626888916015625,-0.04170137831100955,-0.040768759626737774,-0.0750091884635731
438,438120,-40,15712.0,-2796.0,-286.0,598.0,250.0,kepala_belakang,-0.023942016601562498,9.404424121093749,-1.6735469604492186,-0.03810413481453269,0.07967228188493199,0.033307810152563545
439,439123,-288,16328.0,-2236.0,-514.0,-7.0,325.0,kepala_belakang,-0.17238251953125,9.773131176757811,-1.3383587280273437,-0.06848085767367064,-0.0009326186842717792,0.0433001531983326
440,440125,36,16220.0,-2300.0,271.0,278.0,-3.0,kepala_belakang,0.02154781494140625,9.708487731933593,-1.3766659545898436,0.036105666205378875,0.03703828488965066,-0.0003996937218307625
441,441127,152,16180.0,-2452.0,87.0,70.0,-300.0,kepala_belakang,0.0909796630859375,9.68454571533203,-1.467645617675781,0.011591117933092112,0.009326186842717792,-0.039969372183076245
